Food Name,Serving Size (g),Calories (kcal),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Added Sugars (g),Protein (g),Fat (g),Saturated Fat (g),Trans Fat (g),ALA (mg),EPA (mg),DHA (mg),Vitamin A (µg),Beta Carotene (µg),Vitamin C (mg),Vitamin D (µg),Vitamin E (mg),Vitamin K (µg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B3 (mg),Vitamin B5 (mg),Vitamin B6 (mg),Vitamin B9 (µg),Vitamin B12 (µg),Choline (mg),Potassium (mg),Magnesium (mg),Phosphorus (mg),Calcium (mg),Sodium (mg),Iron (mg),Zinc (mg),Copper (mg),Manganese (mg),Selenium (µg),Boron (mg)
Broccoli,100,34,6.6,2.6,1.7,0,2.8,0.4,0.1,0,100,0,0,31,0,89.2,0,0.78,101.6,0.07,0.12,0,0.57,0.18,63,0,0,316,21,66,47,0,0.7,0.4,0,0.21,0,0
Cabbage,100,25,5.8,2.5,3.2,0,1.3,0.1,0,0,50,0,0,5,42,36.6,0,0.15,76,0.06,0.04,0.2,0.2,0.12,43,0,10.7,170,12,26,40,18,0.5,0.2,0.02,0.16,0.3,0.2
Carrots,100,41,9.6,2.8,4.7,0,0.9,0.2,0,0,10,0,0,835,8285,5.9,0,0.66,13.2,0,0,0,0,0.14,19,0,0,320,12,35,33,69,0.3,0,0,0.14,0,0
Cauliflower,100,25,4.9,2,1.9,0,1.9,0.3,0.1,0,10,0,0,0,0,48.2,0,0,15.5,0,0,0,0.67,0.18,57,0,0,299,15,44,22,30,0.4,0,0,0.15,0,0
Hummus,100,239.4366197,15.5,4.2,1.4,0,5.6,18.3,2.4,0,200,0,0,2,20,0.5,0,1,15,0.1,0.05,0.5,0.3,0.4,40,0,20,204,35,100,41,408,1.4,1,0.2,0.5,2.5,0.1
Sweet Potato,100,86,20.1,3,4.2,0,1.6,0.1,0,0,10,0,0,709,8509,2.4,0,0.26,1.8,0.08,0.1,0.6,0.8,0.2,11,0,12.3,337,25,47,30,55,0.6,0.3,0.2,0.3,0.6,0.5
Almond Butter,100,625,16,7.3,3.4,0,20,53,4,0,200,0,0,0,0,0,0,24,0,0.1,0.9,3.5,0.4,0.1,40,0,50,650,250,450,250,0,3.5,3,0.8,1.8,3,0.5
Almonds,100,571.4285714,21.6,12.5,4.4,0,21.2,49.9,3.8,0,200,0,0,1,1,0,0,25.6,0,0.2,1.1,3.6,0.5,0.1,44,0,52,733,270,481,269,1,3.7,3.1,1,2.2,4.1,0.5
Black Beans,100,342.8571429,62.4,15.5,2.1,0,21.6,1.4,0.3,0,100,0,0,1,11,0,0,0.2,5.6,0.9,0.2,2.1,0.9,0.4,444,0,66,1483,171,352,123,5,5,3.7,0.8,1.1,3.2,0.2
Chia Seeds,100,541.6666667,45.8,33.3,0,0,20.8,37.5,4.2,0,17800,0,0,2,0,1.6,0,0.5,0,0.6,0.2,8.8,0,0.6,49,0,78,407,335,860,631,16,7.7,4.6,0.9,2.7,0,0
Flaxseed Meal,100,615.3846154,28.9,27.3,1.6,0,18.3,42.2,3.7,0,22800,0,0,0,0,0.6,0,0.3,4.3,1.6,0.16,3.1,1,0.5,87,0,78,813,392,642,255,30,5.7,4.3,1.2,2.5,25.4,0.1
Peanuts,100,571.4285714,21.4,7.1,3.6,0,25,50,7.1,0,10,0,0,0,0,0,0,4.9,0,0.1,0.1,12.1,1.8,0.3,120,0,52,658,168,376,92,0,4.6,3.3,1.1,1.9,7.2,0
Green Split Peas,100,257.1428571,60,25.7,2.8,0,22.9,1.1,0.2,0,100,0,0,7,89,1.8,0,0.12,16,0.72,0.24,3.6,1,0.14,15,0,48,823,115,334,46,15,4.4,3.3,1,1.1,20,0.1
Pigeon Peas,100,342.8571429,62.8,15,1.5,0,21.7,1.5,0.3,0,100,0,0,1,11,0,0,0.2,5,0.7,0.2,3,0.6,0.3,456,0,95,1392,183,367,130,17,5.2,2.8,1.1,2,8,0
Lentils,100,342.8571429,60.1,10.8,2,0,24.6,1.1,0.2,0,100,0,0,2,23,4.4,0,0.49,5,0.87,0.21,2.6,2.1,0.54,479,0,96,955,122,451,56,6,7.5,4.8,0.75,1.3,8.3,0.2
Tofu,100,94.11764706,2.4,2,0.2,0,9.4,5.3,0.7,0,200,0,0,0,0,0.6,0,0.01,0,0.08,0.05,0.4,0.1,0.05,15,0,10,121,37,97,150,7,1.4,0.8,0.19,0.6,8.9,0.01
Walnuts,100,666.6666667,13.7,6.7,2.6,0,15.2,65.2,6.1,0,9100,0,0,1,12,1.3,0,0.7,2.7,0.34,0.15,1.1,0.57,0.54,98,0,39,441,158,346,98,2,2.9,3.1,1.6,3.4,4.9,1.6
